iter	Passed	Remaining
634	103253	547163
635	103319	546488
636	103386	545820
637	103449	545138
638	103512	544450
639	103574	543765
640	103637	543085
641	103699	542405
642	103765	541744
643	103828	541069
644	103889	540387
645	103952	539716
646	104018	539060
647	104080	538394
648	104143	537728
649	104206	537064
650	104270	536407
651	104333	535747
652	104396	535091
653	104459	534438
654	104523	533786
655	104588	533144
656	104650	532489
657	104712	531838
658	104778	531208
659	104841	530560
660	104905	529925
661	104967	529278
662	105027	528624
663	105089	527981
664	105150	527333
665	105211	526687
666	105274	526058
667	105336	525419
668	105400	524795
669	105464	524173
670	105525	523536
671	105586	522905
672	105648	522275
673	105708	521643
674	105769	521014
675	105832	520396
676	105894	519773
677	105957	519159
678	106019	518541
679	106080	517920
680	106143	517313
681	106203	516689
682	106266	516086
683	106328	515477
684	106392	514878
685	106452	514259
686	106512	513649
687	106575	513049
688	106638	512453
689	106699	511848
690	106761	511250
691	106824	510657
692	106890	510080
693	106962	509535
694	107031	508975
695	107095	508395
696	107158	507811
697	107219	507220
698	107282	506637
699	107343	506049
700	107405	505466
701	107467	504880
702	107527	504293
703	107588	503709
704	107651	503135
705	107713	502559
706	107779	502004
707	107842	501435
708	107910	500891
709	107971	500320
710	108035	499759
711	108096	499189
712	108230	498955
713	108311	498475
714	108386	497972
715	108459	497459
716	108525	496914
717	108592	496377
718	108659	495842
719	108728	495318
720	108795	494784
721	108866	494270
722	108934	493745
723	109002	493219
724	109072	492705
725	109143	492196
726	109208	491664
727	109275	491140
728	109348	490643
729	109416	490126
730	109481	489595
731	109547	489074
732	109613	488547
733	109679	488030
734	109749	487526
735	109816	487011
736	109882	486496
737	109950	485987
738	110016	485470
739	110082	484959
740	110149	484449
741	110215	483938
742	110285	483443
743	110352	482941
744	110419	482437
745	110485	481929
746	110548	481410
747	110611	480894
748	110673	480371
749	110734	479847
750	110795	479327
751	110856	478807
752	110921	478302
753	110982	477784
754	111045	477277
755	111109	476773
756	111173	476269
757	111236	475764
758	111299	475259
759	111361	474752
760	111425	474251
761	111487	473747
762	111550	473249
763	111612	472746
764	111674	472243
765	111737	471746
766	111800	471250
767	111861	470748
768	111923	470252
769	111986	469762
770	112049	469269
771	112113	468786
772	112177	468301
773	112238	467806
774	112302	467324
775	112366	466843
776	112431	466364
777	112494	465882
778	112560	465413
779	112624	464935
780	112687	464458
781	112752	463985
782	112815	463510
783	112879	463038
784	112944	462570
785	113007	462092
786	113068	461614
787	113129	461130
788	113191	460655
789	113254	460185
790	113316	459712
791	113380	459249
792	113441	458771
793	113504	458305
794	113565	457833
795	113629	457371
796	113692	456907
797	113755	456445
798	113818	455987
799	113878	455515
800	113940	455049
801	114002	454589
802	114063	454125
803	114125	453664
804	114187	453205
805	114250	452749
806	114313	452297
807	114374	451837
808	114437	451382
809	114503	450945
810	114597	450616
811	114662	450178
812	114725	449728
813	114787	449279
814	114850	448832
815	114913	448386
816	114978	447951
817	115044	447519
818	115105	447071
819	115167	446625
820	115229	446180
821	115291	445736
822	115357	445310
823	115419	444867
824	115480	444424
825	115544	443992
826	115608	443563
827	115671	443127
828	115734	442694
829	115795	442256
830	115856	441817
831	115920	441389
832	115989	440981
833	116054	440561
834	116122	440151
835	116186	439729
836	116251	439312
837	116314	438885
838	116376	438459
839	116436	438024
840	116498	437595
841	116560	437171
842	116624	436753
843	116687	436333
844	116748	435905
845	116809	435480
846	116870	435057
847	116933	434640
848	116996	434222
849	117058	433806
850	117119	433382
851	117181	432967
852	117243	432548
853	117305	432136
854	117369	431727
855	117433	431322
856	117500	430924
857	117565	430526
858	117634	430140
859	117703	429754
860	117766	429347
861	117827	428934
862	117890	428530
863	117952	428124
864	118016	427722
865	118079	427323
866	118144	426928
867	118213	426547
868	118277	426152
869	118341	425756
870	118403	425355
871	118464	424951
872	118525	424546
873	118589	424153
874	118652	423757
875	118713	423357
876	118773	422952
877	118836	422559
878	118897	422161
879	118960	421769
880	119021	421371
881	119084	420982
882	119146	420589
883	119208	420195
884	119269	419800
885	119335	419423
886	119397	419035
887	119463	418658
888	119527	418278
889	119591	417899
890	119653	417512
891	119716	417129
892	119779	416747
893	119842	416365
894	119904	415980
895	119967	415602
896	120031	415224
897	120092	414842
898	120155	414463
899	120220	414092
900	120282	413711
901	120343	413330
902	120410	412968
903	120472	412592
904	120535	412219
905	120598	411845
906	120659	411465
907	120720	411088
908	120783	410717
909	120845	410345
910	120912	409988
911	120977	409624
912	121040	409257
913	121105	408896
914	121171	408538
915	121237	408182
916	121299	407815
917	121363	407452
918	121423	407079
919	121485	406713
920	121552	406361
921	121614	405995
922	121676	405633
923	121742	405281
924	121803	404914
925	121866	404556
926	121929	404196
927	121992	403837
928	122057	403486
929	122121	403132
930	122187	402785
931	122249	402428
932	122311	402066
933	122371	401704
934	122435	401354
935	122499	401001
936	122563	400652
937	122624	400293
938	122686	399940
939	122747	399581
940	122809	399229
941	122872	398878
942	122935	398531
943	122997	398178
944	123061	397834
945	123124	397486
946	123190	397149
947	123252	396798
948	123315	396454
949	123378	396109
950	123438	395755
951	123501	395411
952	123565	395071
953	123628	394729
954	123693	394393
955	123757	394057
956	123820	393716
957	123882	393371
958	123943	393026
959	124007	392690
960	124071	392356
961	124135	392019
962	124200	391687
963	124263	391354
964	124326	391017
965	124388	390676
966	124449	390337
967	124511	389997
968	124573	389663
969	124637	389332
970	124700	388998
971	124764	388668
972	124826	388334
973	124889	388004
974	124952	387671
975	125015	387343
976	125079	387015
977	125140	386682
978	125203	386354
979	125268	386032
980	125330	385700
981	125392	385371
982	125455	385045
983	125517	384716
984	125578	384386
985	125639	384055
986	125703	383733
987	125767	383413
988	125828	383084
989	125892	382764
990	125954	382438
991	125975	381991
992	126095	381843
993	126128	381431
994	126206	381155
995	126230	380720
996	126254	380282
997	126278	379847
998	126348	379550
999	126421	379264
1000	126482	378943
1001	126546	378629
1002	126608	378311
1003	126674	378003
1004	126739	377695
1005	126804	377387
1006	126870	377082
1007	126932	376768
1008	126996	376459
1009	127058	376142
1010	127120	375828
1011	127181	375511
1012	127244	375200
1013	127305	374885
1014	127367	374573
1015	127431	374266
1016	127492	373951
1017	127554	373641
1018	127616	373331
1019	127680	373026
1020	127740	372712
1021	127806	372415
1022	127871	372114
1023	127934	371808
1024	127995	371498
1025	128056	371189
1026	128120	370888
1027	128187	370597
1028	128252	370298
1029	128317	370001
1030	128379	369699
1031	128441	369392
1032	128503	369090
1033	128566	368789
1034	128631	368494
1035	128693	368193
1036	128755	367891
1037	128820	367596
1038	128884	367301
1039	128947	367003
1040	129008	366700
1041	129072	366407
1042	129135	366110
1043	129199	365816
1044	129265	365531
1045	129326	365231
1046	129390	364936
1047	129451	364637
1048	129515	364348
1049	129577	364051
1050	129638	363751
1051	129701	363459
1052	129763	363165
1053	129830	362885
1054	129894	362597
1055	129957	362306
1056	130020	362014
1057	130083	361726
1058	130145	361432
1059	130208	361143
1060	130270	360851
1061	130336	360574
1062	130399	360284
1063	130459	359990
1064	130525	359712
1065	130588	359424
1066	130650	359135
1067	130712	358847
1068	130773	358557
1069	130839	358280
1070	130905	358002
1071	130967	357717
1072	131029	357431
1073	131093	357149
1074	131154	356861
1075	131216	356577
1076	131316	356394
1077	131386	356132
1078	131450	355855
1079	131512	355569
1080	131574	355288
1081	131638	355009
1082	131701	354731
1083	131765	354452
1084	131829	354177
1085	131894	353904
1086	131957	353627
1087	132023	353356
1088	132085	353078
1089	132149	352804
1090	132212	352526
1091	132278	352259
1092	132342	351984
1093	132405	351708
1094	132467	351432
1095	132530	351157
1096	132593	350881
1097	132653	350601
1098	132713	350319
1099	132776	350048
1100	132838	349772
1101	132901	349498
1102	132965	349229
1103	133027	348955
1104	133089	348683
1105	133149	348403
1106	133211	348130
1107	133274	347861
1108	133335	347587
1109	133397	347314
1110	133461	347048
1111	133522	346775
1112	133588	346512
1113	133651	346247
1114	133713	345976
1115	133774	345703
1116	133836	345433
1117	133899	345167
1118	133961	344900
1119	134021	344625
1120	134081	344354
1121	134143	344086
1122	134204	343817
1123	134265	343546
1124	134328	343283
1125	134390	343018
1126	134453	342753
1127	134514	342487
1128	134575	342219
1129	134640	341962
1130	134702	341698
1131	134766	341440
1132	134828	341176
1133	134889	340910
1134	134950	340645
1135	135014	340388
1136	135079	340133
1137	135149	339893
1138	135211	339632
1139	135273	339369
1140	135334	339107
1141	135397	338849
1142	135458	338587
1143	135522	338331
1144	135586	338077
1145	135651	337827
1146	135712	337566
1147	135772	337303
1148	135834	337044
1149	135897	336788
1150	135957	336527
1151	136019	336270
1152	136081	336012
1153	136142	335754
1154	136203	335497
1155	136266	335242
1156	136327	334985
1157	136392	334738
1158	136454	334483
1159	136515	334228
1160	136577	333974
1161	136639	333720
1162	136698	333460
1163	136761	333209
1164	136823	332956
1165	136886	332707
1166	136950	332461
1167	137013	332210
1168	137073	331953
1169	137135	331702
1170	137196	331449
1171	137260	331204
